,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/6/19,2455.5674,2886.499,,,3086.72
2009/6/22,2472.2473,2923.236,,,3116.155
2009/6/23,2470.7432,2941.055,,,3128.527
2009/6/24,2473.3696,2923.47,,,3121.207
2009/6/25,2486.3694,2946.898,,,3141.166
2009/6/26,2484.9333,2937.614,,,3137.082
2009/6/29,2515.2983,2976.922,,,3182.415
2009/6/30,2523.417,2997.272,,,3195.716
2009/7/1,2547.9304,3009.706,,,3238.792
2009/7/2,2579.7983,3062.564,,,3285.093
2009/7/3,2611.3618,3088.862,,,3327.669
2009/7/6,2644.957,3128.31,,,3378.055
2009/7/7,2661.6606,3130.067,,,3393.224
2009/7/8,2647.7368,3097.964,,,3368.066
2009/7/9,2675.9541,3123.51,,,3396.483
2009/7/10,2701.3044,3140.044,,,3428.029
2009/7/13,2692.0916,3112.875,,,3403.74
2009/7/14,2730.1414,3147.592,,,3454.753
2009/7/15,2756.8701,3188.91,,,3497.508
2009/7/16,2785.3411,3221.068,,,3543.019
2009/7/17,2770.6331,3197.231,,,3527.465
2009/7/20,2816.9919,3269.18,,,3594.872
2009/7/21,2824.4763,3279.587,,,3610.326
2009/7/22,2816.3926,3301.427,,,3607.371
2009/7/23,2849.4561,3331.063,,,3653.837
2009/7/24,2871.3682,3398.049,,,3687.493
2009/7/27,2911.2957,3435.933,,,3744.242
2009/7/28,2928.5527,3439.924,,,3756.782
2009/7/29,2937.1658,3454.019,,,3765.59
2009/7/30,2841.0991,3336.64,,,3656.922
2009/7/31,2907.1445,3414.145,,,3735.804
2009/8/3,2953.9634,3465.173,,,3789.935
2009/8/4,2962.9463,3478.01,,,3803.061
2009/8/5,2967.188,3468.097,,,3789.127
2009/8/6,2939.5002,3419.744,,,3739.578
2009/8/7,2902.1699,3374.461,,,3686.543
2009/8/10,2847.6599,3307.885,,,3613.457
2009/8/11,2824.8745,3273.021,,,3569.15
2009/8/12,2817.3872,3255.986,,,3546.5
2009/8/13,2723.1299,3150.365,,,3448.862
2009/8/14,2721.3176,3146.005,,,3454.945
2009/8/17,2625.55,3020.264,,,3319.804
2009/8/18,2504.51,2920.639,,,3186.815
2009/8/19,2504.9644,2929.063,,,3183.007
2009/8/20,2473.9321,2914.64,,,3146.568
2009/8/21,2527.9587,2969.521,,,3221.166
2009/8/24,2559.991,3004.904,,,3241.524
2009/8/25,2551.7378,2980.1,,,3210.851
2009/8/26,2556.7004,2995.803,,,3203.786
2009/8/27,2570.875,2988.028,,,3212.27
2009/8/28,2542.2913,2949.432,,,3168.191
2009/8/31,2460.324,2817.629,,,3003.543
2009/9/1,2338.842,2727.077,,,2901.277
2009/9/2,2332.7786,2729.706,,,2904.786
2009/9/3,2444.55,2854.161,,,3059.987
2009/9/4,2474.8335,2875.983,,,3099.385
2009/9/7,2521.1306,2919.35,,,3153.227
2009/9/8,2535.074,2931.23,,,3170.967
2009/9/9,2555.9111,2962.287,,,3207.388
2009/9/10,2556.8071,2958.954,,,3204.124
2009/9/11,2589.8013,2999.328,,,3253.452
2009/9/14,2629.2842,3033.083,,,3298.905
2009/9/15,2656.1423,3050.426,,,3325.743
2009/9/16,2641.1228,3028.564,,,3296.94
2009/9/17,2676.0125,3064.234,,,3329.116
2009/9/18,2680.2117,3068.028,,,3330.432
2009/9/21,2598.4082,2968.701,,,3210.643
2009/9/22,2621.1682,2982.895,,,3237.217
2009/9/23,2558.8289,2924.198,,,3159.173
2009/9/24,2512.9976,2886.256,,,3122.055
2009/9/25,2488.8354,2864.075,,,3090.069
2009/9/28,2487.9321,2857.948,,,3088.081
2009/9/29,2408.6189,2779.691,,,2998.55
2009/9/30,2427.4216,2803.858,,,3033.738
2009/10/9,2524.885,2912.55,,,3164.031
2009/10/12,2550.8228,2932.078,,,3193.59
2009/10/13,2560.0767,2937.824,,,3199.921
2009/10/14,2614.3323,3010.611,,,3276.553
2009/10/15,2619.4512,3014.26,,,3287.628
2009/10/16,2610.647,3008.179,,,3268.425
2009/10/19,2652.0996,3039.605,,,3330.789
2009/10/20,2691.3518,3084.944,,,3379.63
2009/10/21,2712.4019,3105.514,,,3414.657
