,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/6/22,2450.0464,2900.572,,,3106.387
2009/6/23,2444.9011,2853.491,,,3036.404
2009/6/24,2442.7095,2889.046,,,3079.495
2009/6/25,2473.3696,2926.62,,,3125.662
2009/6/26,2471.8921,2930.502,,,3126.228
2009/6/29,2480.6362,2930.313,,,3132.113
2009/6/30,2513.2686,2990.118,,,3191.641
2009/7/1,2500.6418,2950.169,,,3153.537
2009/7/2,2547.8818,3015.077,,,3248.204
2009/7/3,2579.7644,3035.814,,,3254.93
2009/7/6,2611.188,3091.478,,,3333.096
2009/7/7,2643.4385,3118.268,,,3368.33
2009/7/8,2626.626,3057.46,,,3306.428
2009/7/9,2635.5596,3073.518,,,3348.221
2009/7/10,2675.8687,3124.789,,,3398.911
2009/7/13,2680.2454,3098.956,,,3382.574
2009/7/14,2668.1433,3088.58,,,3375.873
2009/7/15,2730.0032,3156.625,,,3467.132
2009/7/16,2755.821,3209.775,,,3516.778
2009/7/17,2754.8064,3181.063,,,3499.51
2009/7/20,2764.6948,3203.888,,,3532.519
2009/7/21,2815.5415,3275.667,,,3603.402
2009/7/22,2768.6079,3207.987,,,3532.632
2009/7/23,2816.3367,3301.103,,,3613.598
2009/7/24,2849.4561,3343.756,,,3672.206
2009/7/27,2852.0144,3377.716,,,3680.15
2009/7/28,2911.2957,3434.32,,,3745.549
2009/7/29,2928.2188,3419.991,,,3741.784
2009/7/30,2775.7808,3281.203,,,3587.047
2009/7/31,2828.9719,3354.679,,,3670.191
2009/8/3,2907.0378,3429.693,,,3754.218
2009/8/4,2953.0107,3477.112,,,3803.061
2009/8/5,2959.762,3467.047,,,3781.401
2009/8/6,2938.4719,3401.479,,,3707.907
2009/8/7,2884.1853,3352.659,,,3655.462
2009/8/10,2802.2051,3287.759,,,3589.716
2009/8/11,2804.4341,3261.406,,,3558.645
2009/8/12,2817.3872,3255.985,,,3546.5
2009/8/13,2693.9119,3112.573,,,3398.889
2009/8/14,2714.854,3138.146,,,3437.951
2009/8/17,2625.55,2994.866,,,3283.436
2009/8/18,2463.0603,2845.335,,,3110.708
2009/8/19,2494.3069,2916.095,,,3178.281
2009/8/20,2377.771,2798.37,,,3021.251
2009/8/21,2471.5894,2905.053,,,3135.373
2009/8/24,2523.7246,2982.192,,,3222.397
2009/8/25,2551.7378,2980.1,,,3210.851
2009/8/26,2477.8884,2889.735,,,3082.68
2009/8/27,2535.0442,2947.827,,,3149.566
2009/8/28,2538.0938,2938.423,,,3152.037
