,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/6/22,2437.093,2884.131,,,3072.534
2009/6/23,2405.4797,2841.902,,,3028.454
2009/6/24,2435.2627,2880.285,,,3068.242
2009/6/25,2460.8943,2909.09,,,3103.871
2009/6/26,2467.033,2910.345,,,3109.316
2009/6/29,2477.5024,2918.39,,,3122.164
2009/6/30,2494.2693,2953.364,,,3159.626
2009/7/1,2491.4348,2947.69,,,3150.654
2009/7/2,2547.8818,3015.077,,,3247.573
2009/7/3,2557.397,3029.546,,,3249.11
2009/7/6,2611.188,3090.099,,,3333.096
2009/7/7,2616.5469,3077.476,,,3327.354
2009/7/8,2576.1089,3011.214,,,3261.32
2009/7/9,2629.0298,3064.209,,,3334.68
2009/7/10,2665.689,3099.987,,,3375.965
2009/7/13,2662.7898,3076.302,,,3358.518
2009/7/14,2668.1433,3088.58,,,3375.873
2009/7/15,2730.0032,3156.625,,,3467.132
2009/7/16,2747.5623,3175.957,,,3489.562
2009/7/17,2737.2312,3158.566,,,3482.871
2009/7/20,2764.6318,3192.904,,,3515.534
2009/7/21,2763.0449,3207.501,,,3533.162
2009/7/22,2762.4619,3207.257,,,3532.384
2009/7/23,2813.2515,3289.224,,,3596.364
2009/7/24,2797.4258,3306.911,,,3591.88
2009/7/27,2852.0144,3376.286,,,3669.508
2009/7/28,2884.8677,3392.428,,,3705.045
2009/7/29,2695.3545,3174.214,,,3453.641
2009/7/30,2738.0146,3215.753,,,3511.291
2009/7/31,2828.9719,3333.718,,,3635.548
2009/8/3,2898.1958,3398.448,,,3716.573
2009/8/4,2901.0522,3404.818,,,3712.431
2009/8/5,2895.929,3385.424,,,3691.976
2009/8/6,2837.9719,3309.606,,,3602.575
2009/8/7,2790.5073,3244.101,,,3539.697
2009/8/10,2757.3547,3201.06,,,3485.364
2009/8/11,2780.1438,3222.707,,,3509.717
2009/8/12,2686.8164,3104.565,,,3390.361
2009/8/13,2645.8894,3060.119,,,3338.848
2009/8/14,2624.9651,3039.305,,,3334.729
2009/8/17,2460.8564,2867.394,,,3137.477
2009/8/18,2423.6633,2827.113,,,3083.203
2009/8/19,2355.2317,2761.395,,,2982.222
2009/8/20,2377.771,2798.37,,,3021.251
2009/8/21,2450.1948,2883.273,,,3113.704
2009/8/24,2505.7727,2944.923,,,3178.856
2009/8/25,2409.4443,2823.637,,,3019.119
2009/8/26,2446.7742,2872.264,,,3065.463
2009/8/27,2500.4651,2909.893,,,3116.894
2009/8/28,2448.9805,2843.109,,,3030.731
2009/8/31,2287.9529,2662.997,,,2825.767
2009/9/1,2262.3931,2639.759,,,2795.486
2009/9/2,2273.3733,2669.217,,,2813.618
2009/9/3,2321.7961,2715.619,,,2892.649
2009/9/4,2428.5779,2827.576,,,3038.99
2009/9/7,2464.2466,2860,,,3078.126
2009/9/8,2447.4275,2831.852,,,3047.3
2009/9/9,2509.4934,2900.111,,,3143.739
2009/9/10,2515.0732,2911.212,,,3150.172
2009/9/11,2518.1555,2915.904,,,3152.689
2009/9/14,2581.6362,2984.835,,,3240.534
2009/9/15,2615.4377,2999.433,,,3264.949
2009/9/16,2579.5522,2960.591,,,3212.445
2009/9/17,2618.2334,3015.586,,,3274.582
2009/9/18,2560.3538,2940.83,,,3170.962
2009/9/21,2502.7991,2871.646,,,3090.607
2009/9/22,2539.2153,2896.937,,,3131.016
2009/9/23,2465.3997,2825.859,,,3041.415
2009/9/24,2417.2122,2783.106,,,2989.236
2009/9/25,2444.7249,2812.918,,,3028.407
2009/9/28,2387.738,2752.773,,,2959.744
2009/9/29,2341.2556,2712.299,,,2923.926
2009/9/30,2381.9404,2763.712,,,2988.292
2009/10/9,2406.5757,2834.618,,,3071.27
2009/10/12,2517.907,2893.573,,,3151.256
2009/10/13,2512.7307,2886.959,,,3140.498
2009/10/14,2559.8716,2943.742,,,3204.314
2009/10/15,2577.4705,2967.108,,,3227.088
2009/10/16,2549.6555,2931.92,,,3188.434
2009/10/19,2583.0166,2962.307,,,3231.807
2009/10/20,2652.0996,3053.643,,,3343.018
2009/10/21,2674.1577,3062.56,,,3358.55
2009/10/22,2660.1636,3045.033,,,3341.415
2009/10/23,2669.231,3057.387,,,3354.984
2009/10/26,2692.1426,3083.183,,,3385.44
2009/10/27,2644.3188,3020.494,,,3314.323
2009/10/28,2605.7732,2974.258,,,3258.274
2009/10/29,2591.0588,2952.014,,,3239.005
2009/10/30,2598.5413,2983.93,,,3276.318
2009/11/2,2569.0696,2923.525,,,3198.309
2009/11/3,2712.1897,3078.944,,,3397.255
2009/11/4,2734.2075,3096.354,,,3415.216
2009/11/5,2755.7903,3122.524,,,3432.26
2009/11/6,2783.9744,3156.993,,,3474.364
2009/11/9,2774.6738,3141.77,,,3452.614
2009/11/10,2805.3755,3176.255,,,3501.499
2009/11/11,2786.8669,3149.071,,,3468.859
2009/11/12,2805.7126,3163.078,,,3487.68
2009/11/13,2776.2678,3127.502,,,3445.36
2009/11/16,2832.8015,3206.428,,,3541.053
2009/11/17,2906.864,3275.305,,,3619.986
2009/11/18,2909.658,3274.212,,,3612.794
2009/11/19,2915.2549,3285.805,,,3604.612
2009/11/20,2918.4939,3280.184,,,3597.306
2009/11/23,2944.5063,3305.502,,,3628.195
2009/11/24,2857.7278,3214.026,,,3538.858
2009/11/25,2836.6445,3188.019,,,3508.057
2009/11/26,2812.0342,3160.35,,,3472.948
2009/11/27,2743.1741,3080.885,,,3367.293
2009/11/30,2757.782,3114.29,,,3415.077
2009/12/1,2841.2935,3173.416,,,3485.524
2009/12/2,2901.8079,3245.964,,,3570.287
2009/12/3,2899.1858,3227.772,,,3551.482
2009/12/4,2866.4241,3214.84,,,3530.058
2009/12/7,2942.6318,3302.134,,,3633.445
2009/12/8,2916.9272,3260.671,,,3590.941
2009/12/9,2891.446,3228.204,,,3543.424
2009/12/10,2890.6423,3225.562,,,3544.901
2009/12/11,2907.3198,3242.373,,,3568.506
2009/12/14,2850.6907,3178.229,,,3495.639
2009/12/15,2926.1453,3267.935,,,3578.283
2009/12/16,2904.6563,3246.607,,,3550.667
2009/12/17,2839.0273,3176.626,,,3475.844
2009/12/18,2770.7,3108.03,,,3385.675
2009/12/21,2753.1897,3088.003,,,3354.652
2009/12/22,2715.5044,3039.858,,,3296.765
2009/12/23,2717.074,3041.348,,,3296.292
2009/12/24,2753.5435,3075.107,,,3339.298
2009/12/25,2813.3303,3128.15,,,3410.667
2009/12/28,2828.4138,3148.86,,,3432.82
2009/12/29,2849.5942,3166.758,,,3451.177
2009/12/30,2885.3091,3206.217,,,3498.377
2009/12/31,2910.959,3250.026,,,3542.38
2010/1/4,2917.8525,3243.319,,,3535.229
2010/1/5,2892.761,3221.462,,,3497.661
2010/1/6,2921.2031,3253.044,,,3541.173
2010/1/7,2846.9248,3176.707,,,3452.769
2010/1/8,2825.4075,3149.017,,,3426.698
2010/1/11,2865.2175,3197.328,,,3465.317
2010/1/12,2852.7104,3180.085,,,3437.661
2010/1/13,2842.4792,3165.485,,,3415.693
2010/1/14,2849.1719,3165.596,,,3411.812
2010/1/15,2884.7261,3197.221,,,3448.661
2010/1/18,2892.0847,3202.207,,,3458.042
2010/1/19,2921.0403,3236.839,,,3497.094
2010/1/20,2831.1655,3148.334,,,3387.818
2010/1/21,2814.2578,3126.902,,,3364.723
2010/1/22,2751.9814,3062.629,,,3293.194
2010/1/25,2776.782,3092.926,,,3326.266
2010/1/26,2687.5767,3001.956,,,3222.14
2010/1/27,2655.7297,2972.627,,,3183.365
2010/1/28,2653.1597,2963.891,,,3168.463
2010/1/29,2662.626,2968.453,,,3176.916
2010/2/1,2621.845,2912.887,,,3116.439
2010/2/2,2638.3318,2930.559,,,3143.085
2010/2/3,2591.8953,2890.021,,,3094.568
2010/2/4,2669.8291,2968.68,,,3190.437
2010/2/5,2629.1069,2918.909,,,3129.921
2010/2/8,2631.2903,2922.187,,,3133.808
2010/2/9,2637.0347,2929.21,,,3144.478
2010/2/10,2653.5195,2958.217,,,3182.834
2010/2/11,2681.262,2976.079,,,3207.165
2010/2/12,2688.6826,2993.437,,,3228.738
2010/2/22,2705.1401,3002.811,,,3232.784
2010/2/23,2651.5166,2938.753,,,3152.934
2010/2/24,2670.7107,2955.069,,,3165.133
2010/2/25,2737.2981,3022.373,,,3249.329
2010/2/26,2759.5952,3041.689,,,3273.693
2010/3/1,2771.115,3054.554,,,3287.556
2010/3/2,2785.4248,3060.956,,,3299.685
2010/3/3,2785.6099,3061.467,,,3293.916
2010/3/4,2739.7661,3016.215,,,3244.978
2010/3/5,2734.1719,3011.088,,,3239.677
2010/3/8,2753.2737,3030.905,,,3258.034
2010/3/9,2753.6565,3028.69,,,3255.982
2010/3/10,2754.8098,3034.739,,,3267.761
2010/3/11,2742.5991,3025.309,,,3251.704
2010/3/12,2728.2771,3011.972,,,3232.117
2010/3/15,2683.5693,2963.494,,,3171.803
2010/3/16,2686.1455,2963.438,,,3169.098
2010/3/17,2715.127,2994.893,,,3207.271
2010/3/18,2759.5574,3035.019,,,3256.593
2010/3/19,2757.8528,3031.023,,,3251.136
2010/3/22,2785.4736,3061.759,,,3288.506
2010/3/23,2777.5247,3051.211,,,3272.921
2010/3/24,2781.646,3052.213,,,3271.033
2010/3/25,2748.2593,3012.308,,,3222.821
2010/3/26,2745.7178,3009.905,,,3220.594
2010/3/29,2792.1946,3071.69,,,3293.671
2010/3/30,2838.7441,3113.767,,,3350.313
2010/3/31,2834.5227,3101.756,,,3338.745
2010/4/1,2841.9175,3111.935,,,3349.884
2010/4/2,2873.3411,3141.866,,,3391.806
2010/4/6,2872.448,3141.93,,,3386.888
2010/4/7,2866.0415,3132.236,,,3369.017
2010/4/8,2851.6331,3110.256,,,3336.156
2010/4/9,2856.6162,3114.788,,,3342.471
2010/4/12,2860.5205,3111.899,,,3330.3
2010/4/13,2834.6711,3101.483,,,3324.048
2010/4/14,2879.1826,3145.555,,,3377.437
2010/4/15,2865.5354,3135.99,,,3365.881
2010/4/16,2854.9753,3121.366,,,3348.781
2010/4/19,2727.5449,2977.774,,,3175.441
2010/4/20,2693.3955,2941.35,,,3130.96
2010/4/21,2731.3667,2972.096,,,3164.765
2010/4/22,2745.3364,2978.457,,,3177.726
2010/4/23,2738.4421,2966.785,,,3172.578
2010/4/26,2736.917,2965.832,,,3168.374
2010/4/27,2643.7976,2866.342,,,3060.854
2010/4/28,2643.8127,2865.469,,,3062.085
2010/4/29,2635.8384,2867.938,,,3059.796
2010/4/30,2578.5637,2820.949,,,3014.069
2010/5/4,2563.8772,2809.132,,,2994.921
2010/5/5,2543.97,2770.328,,,2943.361
2010/5/6,2523.5847,2734.999,,,2895.392
2010/5/7,2458.1682,2665.812,,,2817.153
2010/5/10,2429.3469,2646.589,,,2798.523
2010/5/11,2418.4993,2638.533,,,2790.701
2010/5/12,2379.2817,2604.198,,,2756.422
2010/5/13,2414.1785,2646.896,,,2811.661
2010/5/14,2452.8359,2677.19,,,2849.241
2010/5/17,2341.6084,2557.239,,,2712.444
2010/5/18,2309.6848,2529.625,,,2686.973
2010/5/19,2340.4355,2554.984,,,2723.304
2010/5/20,2338.3223,2551.452,,,2721.072
2010/5/21,2275.4631,2481.974,,,2647.597
2010/5/24,2379.2729,2596.318,,,2787.751
2010/5/25,2410.5586,2609.086,,,2798.02
2010/5/26,2412.1606,2610.51,,,2797.628
2010/5/27,2396.2764,2583.548,,,2771.586
2010/5/28,2451.9666,2641.405,,,2835.069
2010/5/31,2405.1763,2591.535,,N/A,2772.792
2010/6/1,2342.6201,2534.267,,948.118,2710.593
2010/6/2,2335.208,2521.057,,952.776,2700.075
2010/6/3,2371.1785,2551.529,,997.948,2735.7
2010/6/4,2353.0603,2527.873,,986.756,2713.095
2010/6/7,2324.6743,2491.661,,1001.958,2673.342
2010/6/8,2328.2651,2491.647,,1051.261,2672.058
2010/6/9,2343.1243,2501.118,,1069.733,2687.331
2010/6/10,2392.4419,2554.787,,1076.679,2746.107
2010/6/11,2400.9795,2566.616,,1119.223,2755.949
2010/6/17,2389.2363,2559.723,,1065.343,2742.64
2010/6/18,2325.0579,2505.327,,993.644,2686.614
2010/6/21,2323.2217,2504.315,,977.061,2686.323
2010/6/22,2393.9365,2572.962,,1034.332,2766.443
2010/6/23,2371.6304,2546.52,,1024.415,2734.047
2010/6/24,2383.0618,2554.342,,1042.23,2739.807
2010/6/25,2360.0693,2534.269,,999.852,2715.655
2010/6/28,2351.144,2528.385,,984.894,2710.087
2010/6/29,2250.3833,2425.927,,913.168,2591.694
2010/6/30,2204.3516,2382.358,,881.967,2546.843
2010/7/1,2195.4036,2371.778,,882.798,2524.573
2010/7/2,2134.7864,2319.739,,833.196,2462.202
2010/7/5,2154.4419,2335.571,,843.313,2476.49
2010/7/6,2178.0769,2356.553,,858.388,2502.931
2010/7/7,2221.3047,2392.567,,890.95,2548.559
2010/7/8,2232.4424,2402.002,,887.638,2564.638
2010/7/9,2230.5662,2398.676,,897.611,2557.259
2010/7/12,2290.3892,2455.814,,924.805,2636.648
2010/7/13,2275.2644,2439.243,,907.037,2618.34
2010/7/14,2289.8896,2456.103,,916.815,2640.542
2010/7/15,2261.4541,2423.649,,893.279,2607.788
2010/7/16,2228.9292,2389.071,,869.776,2573.794
2010/7/19,2239.448,2392.273,,878.827,2585.007
2010/7/20,2316.978,2477.46,,910.332,2685.459
2010/7/21,2363.229,2520.149,,938.973,2733.721
2010/7/22,2365.467,2522.201,,932.828,2734.071
2010/7/23,2391.6938,2549.237,,948.948,2769.44
2010/7/26,2401.7908,2556.466,,955.587,2775.778
2010/7/27,2413.3069,2565.636,,956.56,2785.374
2010/7/28,2412.8938,2564.156,,955.349,2784.155
2010/7/29,2467.6409,2623.944,,966.444,2851.996
2010/7/30,2461.7629,2614.732,,956.747,2844.682
2010/8/2,2483.8284,2633.647,,969.29,2867.45
2010/8/3,2482.5549,2626.722,,976.491,2865.761
2010/8/4,2445.0596,2589.988,,956.759,2818.248
2010/8/5,2467.7463,2606.622,,979.181,2833.669
2010/8/6,2459.74,2598.913,,986.485,2821.033
2010/8/9,2516.5127,2650.397,,1014.123,2888.045
2010/8/10,2462.6304,2594.336,,994.854,2832.078
2010/8/11,2454.0366,2586.018,,991.8,2823.15
2010/8/12,2444.7844,2570.963,,988.834,2810.102
2010/8/13,2437.9553,2564.838,,987.478,2799.221
2010/8/16,2476.9036,2596.771,,1005.923,2843.024
2010/8/17,2533.7305,2654.011,,1023.967,2917.834
2010/8/18,2535.9966,2654.408,,1019.379,2924.668
2010/8/19,2540.1096,2659.297,,1022.589,2928.013
2010/8/20,2512.8684,2636.908,,994.422,2892.64
2010/8/23,2511.4573,2629.707,,992.378,2886.659
2010/8/24,2498.0898,2614.563,,988.072,2866.802
2010/8/25,2483.5344,2595.728,,977.396,2842.249
2010/8/26,2479.717,2590.614,,973.386,2836.129
2010/8/27,2481.1296,2588.643,,976.305,2833.422
2010/8/30,2502.9478,2620.19,,1003.594,2872.918
2010/8/31,2535.4197,2626.793,,1015.289,2889.808
2010/9/1,2506.7151,2604.487,,988.689,2859.166
2010/9/2,2528.9971,2636.418,,999.155,2903.028
2010/9/3,2546.3608,2631.851,,1021.708,2891.878
2010/9/6,2573.0613,2664.239,,1011.117,2935.89
2010/9/7,2587.3733,2679.023,,1011.097,2959.902
2010/9/8,2588.2832,2674.321,,1020.875,2953.839
2010/9/9,2568.8582,2651.602,,1023.644,2922.2
2010/9/10,2542.0867,2628.829,,1017.811,2890.035
2010/9/13,2587.8635,2660.607,,1034.387,2925.416
2010/9/14,2608.9092,2678.974,,1031.554,2954.507
2010/9/15,2569.2285,2645.864,,988.453,2905.63
2010/9/16,2502.7324,2583.337,,965.267,2834.033
2010/9/17,2514.2786,2592.535,,967.56,2847.681
2010/9/20,2496.6431,2573.629,,946.131,2829.757
2010/9/21,2502.7612,2580.177,,929.606,2844.125
2010/9/27,2514.8953,2597.139,,929.897,2864.209
2010/9/28,2538.6091,2607.018,,938.06,2875.658
2010/9/29,2525.7439,2603.927,,922.467,2866.854
2010/9/30,2517.9043,2597.597,,920.081,2857.418
2010/10/8,2597.9771,2677.994,,946.317,2963.237
2010/10/11,2650.9824,2755.026,,941.608,3069.188
2010/10/12,2684.6267,2782.341,,944.511,3106.224
2010/10/13,2718.0674,2826.221,,939.642,3165.578
2010/10/14,2736.0862,2864.519,,953.89,3215.031
